symbol,series,date,prev_close,open,high,low,last,close,AVG_PRICE,volume,turnover_lacs,num_trades,deliv_qty,deliv_per
HDFCBANK, EQ,2025-06-05,1941.2,1948.0,1958.9,1940.2,1952.0,1949.6,1950.15,11127709,217006.98,216860,6248672,56.15
HDFCBANK, EQ,2025-06-06,1949.6,1944.0,1996.3,1942.7,1978.0,1978.7,1976.03,15063504,297659.92,354572,9208623,61.13
HDFCBANK, EQ,2025-06-09,1978.7,1995.0,1995.0,1975.9,1980.1,1978.9,1982.15,6601294,130847.8,203285,4310858,65.3
HDFCBANK, EQ,2025-06-10,1978.9,1982.8,1982.8,1961.1,1962.8,1965.3,1967.94,7766563,152841.55,281306,5433094,69.95
HDFCBANK, EQ,2025-06-11,1965.3,1967.6,1967.6,1947.0,1947.9,1950.4,1956.28,5548197,108538.33,181762,4381595,78.97
HDFCBANK, EQ,2025-06-12,1950.4,1950.0,1961.0,1935.3,1940.0,1943.4,1945.18,8174565,159010.15,179174,4709228,57.61
HDFCBANK, EQ,2025-06-13,1943.4,1920.0,1933.0,1913.0,1919.5,1917.6,1920.08,6058881,116335.23,187789,4157664,68.62
HDFCBANK, EQ,2025-06-16,1917.6,1924.0,1938.9,1920.1,1936.9,1935.4,1933.31,8256873,159631.22,199177,6755556,81.82
HDFCBANK, EQ,2025-06-17,1935.4,1937.0,1941.6,1919.1,1926.0,1929.6,1927.55,8489368,163636.91,219738,5836894,68.76
HDFCBANK, EQ,2025-06-18,1929.6,1917.0,1936.3,1917.0,1932.5,1933.9,1928.12,9216908,177713.03,251910,7313289,79.35
HDFCBANK, EQ,2025-06-19,1933.9,1933.9,1946.8,1925.6,1933.1,1935.3,1937.61,8438110,163497.33,202215,5083169,60.24
HDFCBANK, EQ,2025-06-20,1935.3,1931.6,1969.9,1931.6,1963.1,1964.7,1960.39,16450204,322488.4,261970,13234979,80.45
HDFCBANK, EQ,2025-06-23,1964.7,1948.4,1957.9,1941.8,1948.1,1948.4,1948.19,5869759,114353.96,176324,4136205,70.47
HDFCBANK, EQ,2025-06-24,1948.4,1965.0,1979.0,1955.6,1963.7,1960.9,1964.12,11312661,222194.42,231814,5590603,49.42
HDFCBANK, EQ,2025-06-25,1960.9,1966.0,1982.0,1963.9,1980.0,1980.2,1977.13,9202966,181954.47,206190,6856865,74.51
HDFCBANK, EQ,2025-06-26,1980.2,1981.4,2027.1,1980.0,2017.7,2021.8,2011.21,25042415,503656.56,343662,17082370,68.21
HDFCBANK, EQ,2025-06-27,2021.8,2013.0,2019.8,1993.4,2011.5,2014.9,2011.75,14106692,283790.71,226961,11790269,83.58
HDFCBANK, EQ,2025-06-30,2014.9,2011.5,2013.8,1995.5,2000.0,2001.5,2001.16,6824510,136569.39,199780,5025817,73.64
HDFCBANK, EQ,2025-07-01,2001.5,2005.0,2016.0,2004.0,2011.1,2012.1,2010.15,7194693,144624.22,169976,4895516,68.04
HDFCBANK, EQ,2025-07-02,2012.1,2019.9,2019.9,1977.9,1985.5,1986.0,1990.25,9439125,187862.19,268429,6516626,69.04
HDFCBANK, EQ,2025-07-03,1986.0,1994.9,2008.0,1984.3,1985.9,1987.1,1993.22,8430253,168033.72,182242,4021259,47.7
HDFCBANK, EQ,2025-07-04,1987.1,1987.1,2003.5,1980.0,1992.7,1989.3,1987.51,3931972,78148.33,150676,2386234,60.69
HDFCBANK, EQ,2025-07-07,1989.3,1989.0,1998.4,1983.8,1985.5,1987.4,1989.37,5674713,112890.79,163393,3580127,63.09
HDFCBANK, EQ,2025-07-08,1987.4,1977.0,2005.0,1977.0,1999.4,2001.4,1992.88,7612158,151700.95,199823,4719470,62.0
HDFCBANK, EQ,2025-07-09,2001.4,2007.0,2013.8,1998.1,2008.5,2011.2,2007.1,6930714,139106.46,151284,4775873,68.91
HDFCBANK, EQ,2025-07-10,2011.2,2016.0,2017.0,2000.0,2002.8,2006.2,2008.54,8515155,171030.52,184619,4603926,54.07
HDFCBANK, EQ,2025-07-11,2006.2,1998.0,2004.8,1980.9,1983.0,1983.7,1987.41,6258461,124381.54,125871,4958892,79.24
HDFCBANK, EQ,2025-07-14,1983.7,1983.0,1988.7,1970.6,1982.9,1983.0,1978.8,6544425,129500.97,132854,4932484,75.37
HDFCBANK, EQ,2025-07-15,1983.0,1973.0,2003.6,1973.0,1998.0,1995.5,1993.02,7249084,144475.99,157806,4070577,56.15
HDFCBANK, EQ,2025-07-16,1995.5,2018.0,2022.7,1992.6,1996.0,1996.3,2005.54,8997306,180444.32,216845,5265661,58.52
HDFCBANK, EQ,2025-07-17,1996.3,2004.0,2004.8,1982.7,1986.0,1986.9,1991.85,11264579,224374.06,256020,6366220,56.52
HDFCBANK, EQ,2025-07-18,1986.9,1986.9,1997.0,1953.0,1956.0,1957.4,1968.8,8064723,158778.08,221823,5524936,68.51
HDFCBANK, EQ,2025-07-21,1957.4,1978.2,2002.0,1976.5,2001.5,2000.5,1993.45,11154539,222360.41,275691,6536125,58.6
HDFCBANK, EQ,2025-07-22,2000.5,2013.1,2018.0,2003.0,2005.0,2007.1,2009.05,7418407,149039.4,226727,5286787,71.27
HDFCBANK, EQ,2025-07-23,2007.1,2011.0,2029.8,2003.0,2024.5,2024.3,2019.97,6817458,137710.9,191989,4887186,71.69
HDFCBANK, EQ,2025-07-24,2024.3,2037.7,2037.7,2008.4,2011.7,2014.2,2019.12,9553588,192898.76,183573,5946175,62.24
